Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,1104.75,1133.35,1102.25,1124.15,1122.890623767841652866,12681,1012,14239376.00,4148,32.71,31.10,19.40
27-April-2018,1107.00,1112.00,1096.60,1102.25,1106.647436689314391599,8095,399,8958311.00,4223,52.17,15.40,-4.75
26-April-2018,1108.00,1108.00,1096.00,1102.15,1104.481036662452591656,3164,251,3494578.00,1307,41.31,12.00,-5.85
25-April-2018,1100.00,1111.70,1100.00,1107.35,1107.875584242154462497,8986,538,9955370.00,1999,22.25,11.70,7.35
24-April-2018,1107.85,1113.00,1097.00,1099.05,1102.919651272384542884,4244,348,4680791.00,1480,34.87,16.00,-8.80
23-April-2018,1104.00,1108.80,1101.00,1104.95,1105.164397450753186558,6904,523,7630055.00,3027,43.84,7.80,0.95
20-April-2018,1111.05,1111.45,1084.85,1099.15,1101.720019226147560682,4161,339,4584257.00,2019,48.52,26.60,-11.90
19-April-2018,1111.15,1124.65,1108.80,1110.45,1116.087932502515674587,12919,1151,14418740.00,4400,34.06,15.85,-0.70
18-April-2018,1102.00,1111.00,1093.00,1104.90,1102.722168012064224252,11273,792,12430987.00,5205,46.17,18.00,2.90
17-April-2018,1100.00,1109.00,1095.00,1099.70,1099.836225596529284164,7376,408,8112392.00,2077,28.16,14.00,-0.30
16-April-2018,1090.50,1101.75,1086.50,1099.55,1098.017048710601719197,6980,371,7664159.00,2989,42.82,15.25,9.05
13-April-2018,1100.00,1104.35,1094.55,1098.45,1100.897699352244806790,4477,296,4928719.00,1651,36.88,9.80,-1.55
12-April-2018,1098.00,1110.00,1092.80,1102.35,1102.855895511617838071,13858,698,15283377.00,6293,45.41,17.20,4.35
11-April-2018,1093.00,1100.00,1088.00,1097.35,1097.111497706784754072,12646,730,13874072.00,6389,50.52,12.00,4.35
10-April-2018,1099.00,1099.15,1084.50,1091.15,1090.183613513954627060,6127,404,6679555.00,1680,27.42,14.65,-7.85
9-April-2018,1100.00,1100.50,1089.00,1095.00,1095.302893683580990937,21737,1448,23808599.00,11396,52.43,11.50,-5.00
6-April-2018,1091.55,1108.60,1084.80,1097.65,1096.613627748294162244,10552,513,11571467.00,3189,30.22,23.80,6.10
