Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,1494.00,1515.00,1475.20,1509.05,1500.747513459257231499,21918,1197,32893384.00,8237,37.58,39.80,15.05
27-April-2018,1491.50,1498.00,1471.00,1474.55,1478.400394282897979300,20290,790,29996744.00,8374,41.27,27.00,-16.95
26-April-2018,1455.00,1498.40,1455.00,1491.25,1477.742562079368763054,43090,3211,63675927.00,16561,38.43,43.40,36.25
25-April-2018,1450.00,1465.00,1450.00,1459.60,1455.663346362375488589,15862,748,23089732.00,5813,36.65,15.00,9.60
24-April-2018,1454.05,1468.95,1446.60,1458.70,1460.807823589965866608,36914,742,53924260.00,7161,19.40,22.35,4.65
23-April-2018,1470.00,1470.00,1450.00,1451.25,1455.024575386659075813,21078,864,30669008.00,9824,46.61,20.00,-18.75
20-April-2018,1449.00,1469.80,1443.20,1465.50,1455.751145592305249308,22041,979,32086211.00,7644,34.68,26.60,16.50
19-April-2018,1452.00,1467.85,1448.55,1454.25,1454.778278654311712162,47916,2015,69707156.00,13492,28.16,19.30,2.25
18-April-2018,1449.00,1458.00,1440.35,1451.35,1445.679901261004044729,67248,1551,97219082.00,31199,46.39,17.65,2.35
17-April-2018,1415.40,1450.00,1415.40,1445.75,1439.076680173767020771,54786,2452,78841255.00,25893,47.26,34.60,30.35
16-April-2018,1401.20,1423.00,1401.20,1419.80,1412.421276595744680851,30315,680,42817551.00,6776,22.35,21.80,18.60
13-April-2018,1414.00,1414.00,1398.65,1409.70,1405.403996571306118075,18666,1081,26233271.00,9694,51.93,15.35,-4.30
12-April-2018,1409.90,1417.00,1398.05,1413.55,1405.295496203194553548,38190,1962,53668235.00,23448,61.40,18.95,3.65
11-April-2018,1382.70,1420.00,1382.70,1408.90,1404.764607969624247123,149593,1903,210142952.00,92167,61.61,37.30,26.20
10-April-2018,1381.55,1401.60,1381.55,1390.90,1392.085423135100708542,37683,1862,52457955.00,16061,42.62,20.05,9.35
9-April-2018,1365.10,1396.80,1365.10,1391.85,1386.513317133600152468,41976,1215,58200283.00,19145,45.61,31.70,26.75
6-April-2018,1372.00,1378.40,1363.80,1375.65,1372.760895425543419487,36988,899,50775680.00,17895,48.38,14.60,3.65
5-April-2018,1363.00,1385.00,1363.00,1381.10,1375.320521510306606594,75243,2218,103483242.00,33906,45.06,22.00,18.10
4-April-2018,1345.00,1359.30,1340.75,1356.35,1352.686512196024725173,54034,1011,73091063.00,38921,72.03,18.55,11.35
3-April-2018,1348.00,1355.75,1335.00,1348.45,1345.259864513436285998,62294,2914,83801618.00,34900,56.02,20.75,0.45
2-April-2018,1333.00,1360.00,1321.60,1348.85,1341.418207529549881266,37479,1042,50275013.00,19562,52.19,38.40,15.85
28-March-2018,1330.00,1344.05,1322.70,1335.90,1332.926456612325462387,95753,1858,127631707.00,45208,47.21,21.35,5.90
27-March-2018,1325.00,1340.00,1321.95,1332.50,1333.845916854594534558,207083,2166,276216814.00,160119,77.32,18.05,7.50
26-March-2018,1299.00,1343.55,1297.55,1320.50,1315.035041607930517029,109955,2524,144594678.00,42870,38.99,46.00,21.50
23-March-2018,1299.00,1312.30,1283.90,1299.75,1297.144083345299063482,62679,2141,81303694.00,23711,37.83,28.40,0.75
22-March-2018,1312.00,1320.05,1308.50,1312.25,1312.939231510479402553,49812,2011,65400129.00,26373,52.95,11.55,0.25
21-March-2018,1305.50,1321.75,1305.50,1314.30,1315.704071749213031087,107374,1530,141272409.00,57707,53.74,16.25,8.80
20-March-2018,1309.40,1319.50,1303.70,1312.90,1313.467613965352654888,63901,1419,83931894.00,42183,66.01,15.80,3.50
19-March-2018,1310.95,1317.65,1301.20,1309.45,1310.230518348062819635,220759,3347,289245179.00,148604,67.32,16.45,-1.50
16-March-2018,1299.65,1310.90,1281.60,1299.10,1297.498617187723404863,244791,4430,317615984.00,163166,66.66,29.30,-0.55
15-March-2018,1311.00,1320.60,1292.85,1297.40,1309.971371981412356212,328175,1227,429899855.00,123224,37.55,27.75,-13.60
14-March-2018,1315.00,1324.00,1310.45,1316.85,1319.152894986625248080,115890,1575,152876629.00,66595,57.46,13.55,1.85
13-March-2018,1324.00,1331.50,1311.00,1317.75,1322.542312276519666269,74671,2270,98755557.00,26735,35.80,20.50,-6.25
12-March-2018,1302.00,1327.20,1295.15,1324.55,1304.628335540036306200,407093,2507,531105063.00,350043,85.99,32.05,22.55
9-March-2018,1303.50,1303.50,1286.45,1300.60,1297.118579115620594484,50363,1038,65326783.00,23014,45.70,17.05,-2.90
8-March-2018,1289.00,1303.50,1284.10,1293.40,1289.066919513996106598,148970,1040,192032299.00,125837,84.47,19.40,4.40
7-March-2018,1290.00,1304.30,1289.80,1292.45,1296.126540492957746478,54528,1377,70675188.00,28197,51.71,14.50,2.45
6-March-2018,1300.50,1307.50,1290.00,1293.20,1303.316911316595315662,265822,1135,346450308.00,251373,94.56,17.50,-7.30
5-March-2018,1325.00,1325.00,1293.60,1300.50,1298.113081372315981301,126210,1268,163834852.00,111399,88.26,31.40,-24.50
1-March-2018,1320.50,1331.85,1300.00,1325.65,1323.223266019366451629,76111,1563,100711846.00,52228,68.62,31.85,5.15
