Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,280.00,283.75,279.55,281.45,282.175474683015094200,298989,2979,84367363.00,113103,37.83,4.20,1.45
27-April-2018,280.00,281.00,278.15,279.25,279.586056725031903519,434905,2973,121593374.00,150292,34.56,2.85,-0.75
26-April-2018,274.20,279.00,273.05,278.30,275.613639066423384945,588618,4375,162231149.00,336042,57.09,5.95,4.10
25-April-2018,275.10,276.30,272.85,273.90,274.789961056474254842,1058199,2032,290782462.00,893856,84.47,3.45,-1.20
24-April-2018,276.50,278.80,275.00,275.65,277.065262705990668997,386668,2331,107132271.00,148208,38.33,3.80,-0.85
23-April-2018,276.25,277.10,274.55,275.15,275.804699714757196817,346021,2177,95434218.00,128482,37.13,2.55,-1.10
20-April-2018,276.70,279.05,273.65,275.95,275.419639362940579099,1211190,3414,333585513.00,918997,75.88,5.40,-0.75
19-April-2018,277.80,279.90,275.25,277.00,277.154711291780316693,493474,3477,136768644.00,187778,38.05,4.65,-0.80
18-April-2018,268.85,278.50,268.30,275.30,274.647979517785825784,1451015,12719,398518338.00,603258,41.57,10.20,6.45
17-April-2018,265.00,268.10,262.95,267.75,265.807951024252413468,530875,3349,141110796.00,190799,35.94,5.15,2.75
16-April-2018,261.45,264.90,260.75,264.50,263.614456201031029907,302998,2510,79874653.00,137280,45.31,4.15,3.05
13-April-2018,262.20,263.25,260.00,260.80,261.405185494103763121,225398,1672,58920206.00,101287,44.94,3.25,-1.40
12-April-2018,264.10,264.95,261.00,262.00,262.528791568765328348,233228,2772,61229065.00,107295,46.00,3.95,-2.10
11-April-2018,266.50,267.30,263.30,264.80,264.935650888180191610,1220079,1915,323242424.00,90336,7.40,4.00,-1.70
10-April-2018,266.00,268.20,265.40,266.35,266.658203300397319489,412011,4335,109866113.00,173916,42.21,2.80,0.35
9-April-2018,262.00,266.70,261.00,265.95,264.346001546610087161,514674,3676,136052014.00,203805,39.60,5.70,3.95
6-April-2018,260.10,261.90,260.00,260.60,260.977627750413631782,262915,2311,68614933.00,98500,37.46,1.90,0.50
5-April-2018,257.00,260.00,256.30,259.50,258.855292131532589547,354224,2705,91692757.00,135621,38.29,3.70,2.50
4-April-2018,259.05,259.90,257.00,258.65,258.390567416881516210,653946,2743,168973478.00,419818,64.20,2.90,-0.40
3-April-2018,258.50,259.90,257.25,258.40,258.297982565933211378,270046,2065,69752337.00,125844,46.60,2.65,-0.10
2-April-2018,258.50,259.00,255.50,258.65,257.340524354932750936,202382,2656,52081090.00,70406,34.79,3.50,0.15
28-March-2018,257.70,261.70,255.05,255.90,257.311729102507948683,440639,2989,113381583.00,217359,49.33,6.65,-1.80
27-March-2018,258.00,263.80,257.00,258.50,258.471484226558268826,668402,3402,172762857.00,255745,38.26,6.80,0.50
26-March-2018,251.30,265.75,251.30,257.95,256.847715672420437846,1276612,4649,327894876.00,644486,50.48,14.45,6.65
23-March-2018,256.45,258.60,255.00,256.30,256.951587938767475432,518156,3586,133141007.00,239229,46.17,3.60,-0.15
22-March-2018,259.80,261.35,257.80,258.10,258.459841757395603707,2140258,3335,553170744.00,1878721,87.78,3.55,-1.70
21-March-2018,259.50,261.60,258.00,258.90,259.890004772568743345,680975,3970,176978596.00,394008,57.86,3.60,-0.60
20-March-2018,258.80,259.85,257.60,258.75,258.679591450728201248,697884,3997,180528348.00,402560,57.68,2.25,-0.05
19-March-2018,260.65,262.20,258.40,259.30,260.542926756554360286,563518,8404,146820629.00,307769,54.62,3.80,-1.35
16-March-2018,264.25,265.95,258.85,260.65,261.773378409053496516,577103,4252,151070202.00,341585,59.19,7.10,-3.60
15-March-2018,267.85,269.75,265.10,265.55,267.847306492530885629,1126171,2020,301641869.00,236052,20.96,4.65,-2.30
14-March-2018,267.55,269.00,265.40,267.90,267.424328326550354941,504449,2169,134901935.00,240491,47.67,3.60,0.35
13-March-2018,270.00,271.70,266.65,268.65,269.053890935824991237,1988609,4250,535042989.00,1573343,79.12,5.05,-1.35
