Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,9090.00,9447.50,9090.00,9406.35,9325.410779111979893884,3581,1041,33394296.00,1661,46.38,357.50,316.35
27-April-2018,9050.00,9125.95,8866.55,9057.50,9038.656333333333333333,3000,733,27115969.00,1211,40.37,259.40,7.50
26-April-2018,8799.80,9189.95,8799.80,9061.55,9089.612713811590502935,3917,1296,35604013.00,1173,29.95,390.15,261.75
25-April-2018,8866.55,8899.55,8668.05,8734.65,8780.765348595213319458,1922,543,16876631.00,714,37.15,231.50,-131.90
24-April-2018,8944.00,9017.65,8809.40,8823.30,8870.958692858454194969,5447,513,48320112.00,4419,81.13,208.25,-120.70
23-April-2018,9130.00,9166.00,8888.45,8924.45,8983.531448714404202377,14468,662,129973733.00,12759,88.19,277.55,-205.55
20-April-2018,9151.00,9246.35,9123.10,9165.40,9187.807602339181286549,1710,519,15711151.00,782,45.73,123.25,14.40
19-April-2018,8960.05,9200.00,8960.05,9153.50,9082.037262049412717699,2469,616,22423550.00,1027,41.60,239.95,193.45
18-April-2018,9028.00,9119.95,8971.65,8987.10,9059.956621880998080614,2605,655,23601187.00,948,36.39,148.30,-40.90
17-April-2018,8755.00,9035.00,8755.00,9015.95,8935.468753596501323512,8689,854,77640288.00,5892,67.81,280.00,260.95
16-April-2018,8689.95,8777.70,8669.00,8744.70,8734.572592969943963321,1963,433,17145966.00,834,42.49,108.70,54.75
13-April-2018,8627.50,8739.70,8617.80,8692.30,8692.426508071367884451,2354,496,20461972.00,1100,46.73,121.90,64.80
12-April-2018,8475.00,8698.00,8325.60,8627.35,8558.643108917870990482,28370,900,242808705.00,26931,94.93,372.40,152.35
11-April-2018,8510.30,8510.30,8392.90,8473.60,8462.299638989169675090,1662,414,14064342.00,646,38.87,117.40,-36.70
10-April-2018,8400.80,8552.35,8385.00,8503.45,8469.788927335640138408,2023,539,17134383.00,1112,54.97,167.35,102.65
9-April-2018,8359.90,8400.35,8350.00,8388.55,8383.634778276033881415,2007,372,16825955.00,1455,72.50,50.35,28.65
6-April-2018,8355.00,8407.50,8320.50,8355.50,8360.434379457917261055,1402,338,11721329.00,716,51.07,87.00,0.50
5-April-2018,8397.30,8400.60,8366.05,8395.70,8390.648241206030150753,995,246,8348695.00,489,49.15,34.55,-1.60
4-April-2018,8341.00,8394.00,8332.80,8358.80,8363.862466384940453323,5206,428,43542268.00,4392,84.36,61.20,17.80
3-April-2018,8285.00,8374.00,8285.00,8360.70,8342.821634062140391254,1738,338,14499824.00,1059,60.93,89.00,75.70
2-April-2018,8201.00,8321.40,8167.75,8309.10,8262.293855460044571792,3141,511,25951865.00,1418,45.14,153.65,108.10
28-March-2018,8169.00,8235.00,8125.00,8202.15,8195.057816537467700258,6192,1037,50743798.00,2658,42.93,110.00,33.15
27-March-2018,7856.40,8169.00,7836.00,8083.85,8057.451507607192254495,18075,1338,145638436.00,14979,82.87,333.00,227.45
26-March-2018,7845.00,7905.55,7720.00,7813.25,7830.081298142950976294,33494,829,262260743.00,30235,90.27,185.55,-31.75
23-March-2018,7844.00,7844.00,7768.00,7797.55,7800.521928091663374160,2531,374,19743121.00,1369,54.09,76.00,-46.45
22-March-2018,7840.00,7919.95,7838.40,7846.15,7884.700987841945288753,2632,434,20752533.00,1538,58.43,81.55,6.15
21-March-2018,7899.95,7958.00,7780.00,7852.50,7913.760957324106113033,3468,570,27444923.00,1733,49.97,178.00,-47.45
20-March-2018,7694.50,7879.00,7694.50,7841.05,7822.415699100572363041,6115,742,47834072.00,4816,78.76,184.50,146.55
19-March-2018,7711.10,7711.40,7642.80,7664.40,7671.788349514563106796,1030,248,7901942.00,634,61.55,68.60,-46.70
16-March-2018,7730.00,7766.30,7669.20,7693.25,7713.863340563991323210,1383,333,10668273.00,885,63.99,97.10,-36.75
15-March-2018,7688.75,7735.95,7685.00,7717.30,7699.663950456323337679,6136,295,47245138.00,5714,93.12,50.95,28.55
14-March-2018,7700.00,7706.15,7627.80,7654.70,7633.042594431049969271,21153,258,161461750.00,19378,91.61,78.35,-45.30
13-March-2018,7675.00,7778.40,7671.00,7703.45,7709.657829328914664457,3621,653,27916671.00,2427,67.03,107.40,28.45
12-March-2018,7700.00,7700.00,7584.95,7620.40,7622.770249924721469436,3321,405,25315220.00,1574,47.40,115.05,-79.60
9-March-2018,7735.90,7735.90,7644.25,7650.55,7664.420528771384136858,3215,443,24641112.00,2354,73.22,91.65,-85.35
8-March-2018,7759.00,7780.00,7706.00,7711.80,7738.703405017921146953,1116,337,8636393.00,645,57.80,74.00,-47.20
7-March-2018,7689.00,7793.35,7656.10,7705.60,7739.883235136582753079,1867,371,14450362.00,955,51.15,137.25,16.60
6-March-2018,7744.00,7779.05,7677.00,7687.55,7717.983424618045546266,6938,479,53547369.00,6006,86.57,102.05,-56.45
5-March-2018,7851.00,7864.30,7695.35,7714.35,7784.973779749899152884,2479,486,19298950.00,754,30.42,168.95,-136.65
1-March-2018,7777.00,7876.10,7777.00,7850.55,7851.701140065146579804,2456,701,19283778.00,1490,60.67,99.10,73.55
28-February-2018,7747.40,7864.55,7717.00,7764.35,7803.111627906976744186,2150,503,16776690.00,707,32.88,147.55,16.95
27-February-2018,7622.05,7789.90,7601.05,7761.20,7746.221345707656612529,4310,946,33386214.00,1433,33.25,188.85,139.15
26-February-2018,7600.00,7648.90,7562.70,7615.50,7619.968965517241379310,2320,347,17678328.00,1452,62.59,86.20,15.50
23-February-2018,7544.00,7613.45,7544.00,7582.50,7585.335375191424196018,1959,415,14859672.00,839,42.83,69.45,38.50
22-February-2018,7575.00,7654.40,7476.05,7540.45,7591.550785973397823458,3308,853,25112850.00,1689,51.06,178.35,-34.55
21-February-2018,7602.25,7608.00,7561.90,7593.45,7585.746518105849582172,1795,369,13616415.00,984,54.82,46.10,-8.80
20-February-2018,7564.90,7610.60,7480.00,7554.85,7578.905750108084738434,2313,596,17530009.00,1023,44.23,130.60,-10.05
