Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,535.05,535.75,514.00,518.05,520.986075405220880149,830473,9220,432664869.00,55320,6.66,21.75,-17.00
27-April-2018,479.00,555.55,479.00,538.90,525.001200315351332770,4282208,38149,2248164340.00,278908,6.51,76.55,59.90
26-April-2018,498.40,501.30,484.00,494.55,492.493219405141121564,431968,5806,212741311.00,79787,18.47,17.30,-3.85
25-April-2018,505.00,509.00,497.00,498.40,500.415546512389176225,290213,2976,145227097.00,45856,15.80,12.00,-6.60
24-April-2018,506.45,514.80,503.60,505.25,507.681333774818194081,326172,2957,165591436.00,35229,10.80,11.20,-1.20
23-April-2018,509.90,511.20,500.30,506.45,506.569772000470448550,357106,3065,180899105.00,21232,5.95,10.90,-3.45
20-April-2018,514.20,514.25,503.20,505.85,507.696804218777015733,277616,2624,140944756.00,33567,12.09,11.05,-8.35
19-April-2018,520.35,522.50,509.25,513.50,512.752981890132943429,251686,2857,129052747.00,28960,11.51,13.25,-6.85
18-April-2018,535.00,536.30,517.15,518.70,527.682820812658681246,474615,5622,250446182.00,84392,17.78,19.15,-16.30
17-April-2018,544.70,544.85,530.80,532.55,536.004573610305041191,273963,3065,146845421.00,23492,8.57,14.05,-12.15
16-April-2018,538.50,544.00,531.20,542.20,537.899613581853239485,255164,2656,137252617.00,25541,10.01,12.80,3.70
13-April-2018,551.00,555.00,536.25,541.90,546.714126099248545881,678418,6431,370900704.00,69710,10.28,18.75,-9.10
12-April-2018,535.35,550.00,534.60,548.30,544.029529725367440268,327128,4459,177967292.00,36907,11.28,15.40,12.95
11-April-2018,550.00,552.00,534.10,539.50,539.834916304884201888,541071,5536,292089018.00,41573,7.68,17.90,-10.50
10-April-2018,523.10,549.50,522.50,546.00,539.401711056765351517,1198090,14145,646251796.00,117216,9.78,27.00,22.90
9-April-2018,502.80,521.00,502.35,517.90,514.300757548329112899,469541,5887,241485292.00,41239,8.78,18.65,15.10
6-April-2018,505.00,505.00,495.50,500.70,498.948894167569936117,173444,2017,86539692.00,16607,9.57,9.50,-4.30
5-April-2018,499.45,504.35,492.60,503.15,499.528251741912622119,242693,2813,121232010.00,28118,11.59,11.75,3.70
4-April-2018,502.00,504.00,477.50,490.15,495.960401931065454137,356280,4041,176700772.00,53842,15.11,26.50,-11.85
3-April-2018,493.10,505.65,493.10,503.30,500.290719818607274697,358118,4463,179163112.00,83932,23.44,12.55,10.20
2-April-2018,509.40,509.40,492.50,498.20,499.253934985114760395,416520,4311,207949249.00,41483,9.96,16.90,-11.20
28-March-2018,511.25,512.15,501.55,509.40,506.680039548793079935,205316,2780,104029519.00,26925,13.11,10.60,-1.85
27-March-2018,509.80,522.00,509.00,511.25,515.224853452102177938,261348,3003,134652985.00,40343,15.44,13.00,1.45
26-March-2018,500.00,509.25,495.35,507.50,502.537234013359019533,364398,3726,183123563.00,113278,31.09,13.90,7.50
23-March-2018,511.00,511.00,496.55,501.00,505.552510384644557375,1120645,5095,566544893.00,763074,68.09,14.45,-10.00
