Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,1929.00,1954.95,1928.50,1944.60,1947.195432804893626080,70459,2004,137197443.00,30455,43.22,26.45,15.60
27-April-2018,1926.00,1934.75,1912.00,1922.85,1920.499416534111736239,297361,4203,571081627.00,247835,83.34,22.75,-3.15
26-April-2018,1920.00,1937.45,1913.05,1930.30,1930.366411982293372142,32982,1322,63667345.00,11495,34.85,24.40,10.30
25-April-2018,1935.00,1938.70,1914.25,1917.20,1923.141787328230194595,54215,2063,104263132.00,23953,44.18,24.45,-17.80
24-April-2018,1938.70,1948.60,1927.00,1936.00,1936.340559933764680629,65222,1970,126292004.00,24077,36.92,21.60,-2.70
23-April-2018,1984.00,1984.00,1894.85,1933.05,1946.184041627681751776,243684,6832,474253912.00,55279,22.68,89.15,-50.95
20-April-2018,1942.00,1967.90,1932.85,1960.95,1946.050916195095661546,74220,1816,144435899.00,22203,29.92,35.05,18.95
19-April-2018,1938.00,1945.00,1934.10,1941.95,1939.404017780228110678,29021,996,56283444.00,10104,34.82,10.90,3.95
18-April-2018,1949.00,1953.40,1933.00,1937.05,1945.010778818641476894,25513,1200,49623060.00,8516,33.38,20.40,-11.95
17-April-2018,1940.00,1955.00,1935.00,1947.40,1944.783745164325793747,28693,1356,55801680.00,8812,30.71,20.00,7.40
16-April-2018,1923.90,1948.95,1922.35,1938.65,1938.610110621406263681,34261,1434,66418721.00,14358,41.91,26.60,14.75
13-April-2018,1927.00,1938.85,1920.00,1928.05,1930.328403044000686616,34954,1534,67472699.00,14812,42.38,18.85,1.05
12-April-2018,1924.90,1930.00,1905.45,1926.30,1920.760750757315511695,32021,1285,61504680.00,11134,34.77,24.55,1.40
11-April-2018,1922.00,1922.00,1904.85,1916.25,1913.887891300172844248,20828,926,39862457.00,7935,38.10,17.15,-5.75
10-April-2018,1950.00,1950.00,1914.15,1919.10,1921.183241826803094584,48084,2235,92378175.00,17738,36.89,35.85,-30.90
9-April-2018,1922.50,1941.20,1919.15,1938.50,1936.266400736422215403,48885,2650,94654383.00,21233,43.43,22.05,16.00
