Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,1188.00,1207.95,1185.00,1199.40,1199.843958142495613966,128818,4823,154561499.00,67901,52.71,22.95,11.40
27-April-2018,1180.00,1191.70,1175.00,1185.15,1184.408409348668600969,143721,3269,170224361.00,45949,31.97,16.70,5.15
26-April-2018,1165.00,1182.00,1160.00,1175.65,1171.745048671791902844,148546,4492,174058040.00,70124,47.21,22.00,10.65
25-April-2018,1154.00,1171.30,1145.20,1160.90,1161.401197629417595117,243147,4957,282391217.00,100854,41.48,26.10,6.90
24-April-2018,1185.00,1196.00,1150.00,1153.90,1168.528049471243963538,171251,4595,200111597.00,45767,26.73,46.00,-31.10
23-April-2018,1166.00,1212.40,1155.00,1183.35,1192.219444990763986101,518622,9393,618311233.00,163936,31.61,57.40,17.35
20-April-2018,1138.50,1191.80,1134.90,1178.25,1172.481591878764812486,562279,13115,659261777.00,232365,41.33,56.90,39.75
19-April-2018,1124.00,1139.00,1124.00,1132.70,1132.227110175297872695,119682,2417,135507205.00,42168,35.23,15.00,8.70
18-April-2018,1124.00,1134.00,1113.70,1125.45,1124.269046023941044861,158222,4070,177884097.00,29403,18.58,20.30,1.45
17-April-2018,1131.95,1131.95,1115.35,1125.00,1121.658645117879314941,157534,4613,176699373.00,52294,33.20,16.60,-6.95
16-April-2018,1099.30,1140.00,1099.00,1132.80,1124.887311145851557958,531561,12748,597946224.00,66320,12.48,41.00,33.50
13-April-2018,1174.50,1184.00,1150.20,1169.00,1170.746876791414102011,294809,8181,345146716.00,48975,16.61,33.80,-5.50
12-April-2018,1132.90,1172.00,1128.30,1162.25,1156.291020927601809954,282880,7302,327091604.00,85210,30.12,43.70,29.35
11-April-2018,1118.00,1131.75,1117.70,1123.90,1122.297643123375936224,340196,3443,381801169.00,78970,23.21,14.05,5.90
10-April-2018,1127.00,1127.00,1105.55,1114.15,1115.411546337810895903,221698,4287,247284509.00,157266,70.94,21.45,-12.85
9-April-2018,1129.90,1129.90,1106.80,1110.95,1114.676297124008819785,167351,7851,186542193.00,76021,45.43,23.10,-18.95
6-April-2018,1140.00,1145.70,1123.65,1129.30,1130.299233600054019379,88857,3167,100434999.00,31335,35.26,22.05,-10.70
5-April-2018,1134.05,1150.40,1129.95,1145.00,1141.420013959169429418,57310,1822,65414781.00,17301,30.19,20.45,10.95
4-April-2018,1140.50,1145.00,1120.00,1124.55,1130.328188651098743473,174290,3027,197004900.00,110266,63.27,25.00,-15.95
3-April-2018,1136.80,1145.00,1129.60,1140.05,1135.326760765722084545,55686,3307,63221806.00,22976,41.26,15.40,3.25
2-April-2018,1135.50,1148.95,1122.00,1137.50,1134.948044278415645772,72812,2387,82637837.00,14965,20.55,26.95,2.00
28-March-2018,1153.00,1153.00,1129.00,1134.40,1140.268381853697262177,95733,2623,109161313.00,25845,27.00,24.00,-18.60
27-March-2018,1145.00,1170.00,1145.00,1152.80,1155.020905701554969537,109970,2388,127017649.00,33813,30.75,25.00,7.80
26-March-2018,1167.00,1167.00,1143.90,1154.30,1152.398242485990830361,196300,5327,226215775.00,79831,40.67,23.10,-12.70
23-March-2018,1145.00,1173.70,1140.00,1167.45,1165.935984304998389505,341510,9329,398178798.00,175792,51.47,33.70,22.45
22-March-2018,1166.90,1176.05,1153.60,1158.80,1167.602343858811357169,251295,2933,293412631.00,175841,69.97,22.45,-8.10
21-March-2018,1163.10,1176.60,1163.10,1168.60,1172.218381313274136078,88405,2275,103629966.00,32881,37.19,13.50,5.50
20-March-2018,1147.15,1170.00,1147.15,1162.10,1158.063540103878626330,692539,7440,802004166.00,421000,60.79,22.85,14.95
19-March-2018,1164.70,1180.00,1143.80,1147.15,1162.400582116683016908,277264,3313,322291835.00,194987,70.33,36.20,-17.55
16-March-2018,1184.80,1185.00,1169.00,1172.50,1174.954499476174993677,55362,1670,65047831.00,12588,22.74,16.00,-12.30
15-March-2018,1180.00,1187.90,1172.25,1182.15,1176.794275776202831420,459416,2521,540638119.00,34397,7.49,15.65,2.15
14-March-2018,1179.00,1189.00,1169.45,1180.20,1179.595225987394634244,64893,1815,76547473.00,12289,18.94,19.55,1.20
13-March-2018,1176.20,1195.50,1175.00,1180.55,1185.768963429673311060,89198,2740,105768220.00,23426,26.26,20.50,4.35
12-March-2018,1170.30,1191.85,1170.30,1185.85,1187.099502248041489136,373881,7354,443833949.00,231474,61.91,21.55,15.55
9-March-2018,1160.20,1166.00,1156.50,1163.40,1163.138122930521160855,107817,2967,125406063.00,47243,43.82,9.50,3.20
8-March-2018,1144.00,1165.00,1144.00,1156.70,1159.453179480264298510,207644,5304,240753496.00,108829,52.41,21.00,12.70
7-March-2018,1151.30,1160.00,1138.20,1142.80,1145.692423303582022649,151702,2775,173803832.00,42790,28.21,21.80,-8.50
6-March-2018,1167.25,1167.25,1129.85,1146.85,1154.756019836062780116,117362,5481,135524476.00,69971,59.62,37.40,-20.40
5-March-2018,1160.00,1170.10,1144.05,1153.10,1160.116585873255745490,764295,3766,886671306.00,233778,30.59,26.05,-6.90
1-March-2018,1173.45,1173.45,1156.40,1160.25,1161.894753189129229062,90150,2568,104744812.00,37613,41.72,17.05,-13.20
28-February-2018,1148.05,1189.20,1142.35,1174.25,1170.401244668379436781,400910,10970,469225563.00,247082,61.63,46.85,26.20
27-February-2018,1142.10,1152.80,1125.85,1148.30,1134.226767896253104664,347461,4038,394099567.00,61885,17.81,26.95,6.20
26-February-2018,1157.00,1157.00,1136.15,1141.05,1144.341379215365829025,108917,3769,124638230.00,38670,35.50,20.85,-15.95
23-February-2018,1165.00,1166.00,1147.20,1155.65,1158.093429360694554064,121632,5388,140861220.00,38825,31.92,18.80,-9.35
22-February-2018,1148.90,1164.00,1140.10,1160.50,1156.326660759264039965,143323,6091,165728206.00,65516,45.71,23.90,11.60
