Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,278.00,282.35,276.50,278.75,279.725037007957733231,122271,1380,34202260.00,28463,23.28,5.85,0.75
27-April-2018,278.00,279.15,274.60,275.35,275.579225778289251770,755985,2422,208333761.00,58830,7.78,4.55,-2.65
26-April-2018,277.00,282.90,274.10,281.45,278.394575986312778634,530714,6933,147747899.00,85165,16.05,8.80,4.45
25-April-2018,289.00,293.95,283.40,287.20,289.072769661279431871,297679,3584,86050893.00,67239,22.59,10.55,-1.80
24-April-2018,296.80,296.80,286.05,287.05,289.018870567843796528,306933,2653,88709429.00,141478,46.09,10.75,-9.75
23-April-2018,300.00,300.10,294.60,296.85,297.548806394113768994,122863,1900,36557739.00,24349,19.82,5.50,-3.15
20-April-2018,292.80,299.70,292.75,298.35,298.240704474966770048,225700,2583,67312927.00,60744,26.91,6.95,5.55
19-April-2018,294.00,294.00,290.00,291.60,291.875794455713319810,44370,802,12950529.00,11057,24.92,4.00,-2.40
18-April-2018,286.25,294.00,286.25,292.70,290.422335053143971851,109702,2118,31859911.00,21164,19.29,7.75,6.45
17-April-2018,290.10,290.10,284.00,285.50,285.653985550159895771,84430,1500,24117766.00,16273,19.27,6.10,-4.60
16-April-2018,290.00,294.00,286.05,289.95,290.525700593558431448,82216,1130,23885861.00,19800,24.08,7.95,-0.05
13-April-2018,287.60,294.40,287.00,293.35,291.386137792990726155,84431,1328,24602023.00,22132,26.21,7.40,5.75
12-April-2018,287.95,300.00,285.40,286.80,288.296781232951445717,69654,1159,20081024.00,15094,21.67,14.60,-1.15
11-April-2018,286.00,289.00,284.10,286.00,286.313019781045905182,63849,979,18280800.00,18427,28.86,4.90,0.00
10-April-2018,278.80,287.55,278.70,285.60,282.958650807394259491,184792,2435,52288495.00,17482,9.46,8.85,6.80
9-April-2018,283.95,298.00,283.50,284.60,284.766217040601911475,44259,804,12603468.00,6759,15.27,14.50,0.65
6-April-2018,287.95,287.95,283.20,284.10,284.416541040702812288,38474,604,10942642.00,15717,40.85,4.75,-3.85
5-April-2018,282.60,286.00,282.60,285.35,284.999067785324277533,52563,890,14980406.00,20820,39.61,3.40,2.75
4-April-2018,284.15,295.00,280.00,281.60,282.509930691118792198,111674,1428,31549014.00,55794,49.96,15.00,-2.55
3-April-2018,288.00,288.00,283.00,283.90,283.997052215618477031,62759,1873,17823371.00,21684,34.55,5.00,-4.10
2-April-2018,281.45,290.45,279.20,289.75,286.109639319383387082,121243,2421,34688791.00,52521,43.32,11.25,8.30
28-March-2018,273.45,284.00,273.00,281.45,278.499625506526428996,156211,2443,43504705.00,33698,21.57,11.00,8.00
27-March-2018,279.00,280.85,272.10,272.55,272.717177467493786969,3219846,3684,878107313.00,3031423,94.15,8.75,-6.45
26-March-2018,285.20,285.65,272.55,273.90,275.533564502810638714,352411,3329,97101059.00,177360,50.33,13.10,-11.30
23-March-2018,286.00,287.90,283.80,285.20,285.658809664113140836,93335,1730,26661965.00,35241,37.76,4.10,-0.80
22-March-2018,295.55,295.55,288.20,289.25,291.332079389176638685,89584,1239,26098693.00,24831,27.72,7.35,-6.30
21-March-2018,292.00,296.95,292.00,295.55,294.519121570773756584,87702,779,25829916.00,32975,37.60,4.95,3.55
20-March-2018,286.40,294.85,285.00,293.75,292.060723793078638750,97293,1048,28415464.00,17654,18.15,9.85,7.35
19-March-2018,295.75,296.10,286.55,288.05,291.090245530746977227,134810,1615,39241876.00,57629,42.75,9.55,-7.70
16-March-2018,296.00,297.10,291.10,295.75,294.204377229884445391,75116,944,22099456.00,36904,49.13,6.00,-0.25
15-March-2018,295.00,302.00,291.90,293.25,296.537803268836309951,229623,2370,68091900.00,54657,23.80,10.10,-1.75
14-March-2018,295.10,296.30,292.90,293.35,294.219688636940519502,94552,1451,27819060.00,28242,29.87,3.40,-1.75
13-March-2018,293.50,298.95,293.20,295.55,295.515600141651294682,189197,2368,55910665.00,101908,53.86,5.75,2.05
12-March-2018,289.90,291.95,286.45,290.75,290.021122057104691935,59890,813,17369365.00,15474,25.84,5.50,0.85
9-March-2018,285.00,287.80,284.10,285.20,285.951088506512025857,42076,861,12031678.00,14640,34.79,3.70,0.20
8-March-2018,285.20,287.65,283.50,285.00,285.451127531573295581,3524735,1055,1006139580.00,3423860,97.14,4.15,-0.20
7-March-2018,286.25,290.85,284.00,285.20,287.223217934085753335,70971,1130,20384519.00,27965,39.40,6.85,-1.05
6-March-2018,291.25,291.85,285.50,286.15,289.986068105873329277,1941301,2053,562950244.00,1728466,89.04,6.35,-5.10
5-March-2018,292.10,293.65,289.65,290.55,291.548324578159821712,502560,1356,146520526.00,434369,86.43,4.00,-1.55
1-March-2018,293.00,294.30,290.55,292.00,291.406488427875169052,313512,1382,91359431.00,206197,65.77,3.75,-1.00
