Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,2957.05,2976.35,2932.00,2948.00,2953.583695901076253721,8734,562,25796600.00,2284,26.15,44.35,-9.05
27-April-2018,2894.45,2956.00,2894.45,2936.80,2934.743714976093774099,19451,1123,57083700.00,8742,44.94,61.55,42.35
26-April-2018,2929.00,2929.00,2870.00,2886.10,2894.410348395998620213,14495,913,41954478.00,4642,32.02,59.00,-42.90
25-April-2018,2882.80,2908.25,2868.00,2899.90,2894.833411149500420207,10709,748,31000771.00,2739,25.58,40.25,17.10
24-April-2018,2856.00,2895.00,2850.00,2889.75,2882.770948485518461198,9046,649,26077546.00,2935,32.45,45.00,33.75
23-April-2018,2853.60,2875.55,2821.75,2854.05,2850.202969366660402180,5321,505,15165930.00,1661,31.22,53.80,0.45
20-April-2018,2855.00,2870.70,2806.00,2853.60,2834.658830769230769230,8125,639,23031603.00,2133,26.25,64.70,-1.40
19-April-2018,2855.00,2860.00,2845.00,2855.10,2853.932113897793701678,5303,417,15134402.00,1781,33.58,15.00,0.10
18-April-2018,2878.00,2878.00,2853.75,2862.65,2866.030576478484599895,13409,712,38430604.00,8389,62.56,24.25,-15.35
17-April-2018,2855.70,2875.00,2844.00,2863.00,2860.753016572372703149,19973,1735,57137820.00,8631,43.21,31.00,7.30
16-April-2018,2800.00,2847.00,2776.25,2839.80,2819.879715004191114836,21474,1544,60554097.00,8773,40.85,70.75,39.80
13-April-2018,2772.00,2805.00,2758.15,2789.40,2798.234694190540457640,65204,944,182456095.00,55731,85.47,46.85,17.40
12-April-2018,2777.00,2779.50,2756.05,2764.15,2761.089885490967724303,36591,1593,101031040.00,24760,67.67,23.45,-12.85
11-April-2018,2783.00,2800.00,2750.65,2755.40,2759.187347445080228882,24991,1213,68954851.00,16167,64.69,49.35,-27.60
10-April-2018,2782.95,2825.00,2761.20,2767.00,2781.957424291226524857,152129,1032,423216401.00,142153,93.44,63.80,-15.95
9-April-2018,2785.00,2804.40,2760.65,2770.45,2784.558099762470308788,10525,809,29307474.00,4734,44.98,43.75,-14.55
6-April-2018,2815.00,2823.65,2776.00,2783.05,2786.552669781191437696,37887,1315,105574121.00,25562,67.47,47.65,-31.95
5-April-2018,2790.00,2827.00,2775.00,2810.55,2798.492625200091470386,17492,1315,48951233.00,9364,53.53,52.00,20.55
4-April-2018,2790.00,2815.35,2747.00,2766.35,2779.235811595088276620,16369,1539,45493311.00,5607,34.25,68.35,-23.65
3-April-2018,2785.00,2824.35,2781.00,2791.75,2800.504681036359677770,9186,751,25725436.00,2330,25.36,43.35,6.75
2-April-2018,2765.00,2820.00,2750.05,2808.60,2791.964075630252100840,14280,1053,39869247.00,2616,18.32,69.95,43.60
28-March-2018,2775.00,2796.10,2737.50,2748.90,2766.749425452456190749,13924,1495,38524219.00,5016,36.02,58.60,-26.10
27-March-2018,2850.00,2852.00,2796.05,2803.20,2814.462097930751895103,19524,2428,54949558.00,8383,42.94,55.95,-46.80
