Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,3728.70,3748.45,3717.50,3733.70,3731.604856259305921429,8731,614,32580642.00,4838,55.41,30.95,5.00
27-April-2018,3786.60,3786.60,3703.50,3715.00,3744.756820812434547759,36286,996,135882246.00,27725,76.41,83.10,-71.60
26-April-2018,3718.15,3785.00,3660.00,3756.90,3710.332340052585451358,11410,1515,42334892.00,4508,39.51,125.00,38.75
25-April-2018,3755.00,3755.00,3703.05,3717.90,3719.379531446749287560,60356,1039,224486871.00,51947,86.07,51.95,-37.10
24-April-2018,3770.00,3770.00,3710.00,3719.60,3721.700145296040682891,5506,524,20491681.00,2077,37.72,60.00,-50.40
23-April-2018,3744.80,3744.80,3695.00,3717.75,3712.493803000652315720,6132,617,22765012.00,2277,37.13,49.80,-27.05
20-April-2018,3733.90,3778.60,3695.00,3744.80,3732.278502213183395142,8359,659,31198116.00,4132,49.43,83.60,10.90
19-April-2018,3755.10,3766.65,3712.75,3729.25,3738.082519531250000000,6144,541,22966779.00,1078,17.55,53.90,-25.85
18-April-2018,3786.65,3862.00,3730.00,3741.95,3755.001680436913597535,7141,727,26814467.00,2479,34.72,132.00,-44.70
17-April-2018,3820.95,3820.95,3760.00,3770.00,3782.398240333410511692,4319,432,16336178.00,1054,24.40,60.95,-50.95
16-April-2018,3750.00,3809.00,3721.60,3798.05,3790.110317460317460317,13860,969,52530929.00,3612,26.06,87.40,48.05
13-April-2018,3766.00,3769.65,3700.05,3729.50,3711.830659070715517691,38266,1016,142036912.00,33654,87.95,69.60,-36.50
12-April-2018,3758.60,3782.75,3731.10,3745.70,3752.975667857750553003,5877,704,22056238.00,1724,29.33,51.65,-12.90
11-April-2018,3750.00,3760.00,3686.00,3728.80,3702.739786664637317200,78843,709,291935113.00,71843,91.12,74.00,-21.20
10-April-2018,3800.00,3813.00,3704.05,3720.80,3733.362433606953162723,31065,1478,115976904.00,23947,77.09,108.95,-79.20
9-April-2018,3789.00,3804.00,3760.35,3788.30,3793.114919963757173059,6622,729,25118007.00,2206,33.31,43.65,-0.70
6-April-2018,3800.00,3800.00,3750.60,3782.40,3774.860969280991043776,11947,872,45098264.00,4433,37.11,49.40,-17.60
5-April-2018,3699.00,3800.00,3696.00,3784.15,3748.280895609188717650,34390,4341,128903380.00,10354,30.11,104.00,85.15
