Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,1923.35,1939.90,1913.80,1927.65,1921.489655172413793103,145,31,278616.00,102,70.34,26.10,4.30
27-April-2018,1922.95,1922.95,1908.00,1915.25,1913.765432098765432098,81,25,155015.00,52,64.20,14.95,-7.70
26-April-2018,1915.00,1922.35,1907.25,1917.35,1915.339622641509433962,159,32,304539.00,92,57.86,15.10,2.35
25-April-2018,1948.05,1950.00,1915.30,1922.95,1928.495810055865921787,716,128,1380803.00,402,56.15,34.70,-25.10
24-April-2018,1920.05,1945.00,1920.05,1934.55,1937.608438193930421909,2702,129,5235418.00,2288,84.68,24.95,14.50
23-April-2018,1929.95,1930.00,1915.00,1919.30,1921.503875968992248062,258,44,495748.00,133,51.55,15.00,-10.65
20-April-2018,1914.00,1924.00,1910.10,1916.70,1918.839116719242902208,317,45,608272.00,212,66.88,13.90,2.70
19-April-2018,1910.05,1930.00,1901.40,1929.25,1923.956521739130434782,483,58,929271.00,301,62.32,28.60,19.20
18-April-2018,1923.40,1923.40,1910.00,1911.70,1913.671361502347417840,426,63,815224.00,302,70.89,13.40,-11.70
17-April-2018,1920.00,1924.45,1910.05,1912.55,1916.163194444444444444,288,37,551855.00,228,79.17,14.40,-7.45
16-April-2018,1918.00,1918.95,1910.00,1914.25,1914.642622950819672131,915,52,1751898.00,890,97.27,8.95,-3.75
13-April-2018,1915.05,1926.95,1915.00,1918.70,1921.031802120141342756,566,54,1087304.00,400,70.67,11.95,3.65
12-April-2018,1911.10,1926.90,1911.10,1920.75,1920.429338103756708407,559,85,1073520.00,340,60.82,15.80,9.65
11-April-2018,1918.00,1926.65,1911.05,1917.35,1918.125766871165644171,326,59,625309.00,206,63.19,15.60,-0.65
10-April-2018,1935.00,1939.90,1918.00,1921.40,1924.869130869130869130,1001,116,1926794.00,856,85.51,21.90,-13.60
9-April-2018,1928.00,1940.05,1912.65,1930.65,1930.399745654938533276,2359,304,4553813.00,1322,56.04,27.40,2.65
