Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,1185.00,1206.15,1182.75,1200.15,1195.965238256375549881,32507,1177,38877242.00,12279,37.77,23.40,15.15
27-April-2018,1163.00,1198.85,1163.00,1184.45,1184.199693393590009741,62621,1880,74155769.00,21767,34.76,35.85,21.45
26-April-2018,1163.80,1176.00,1152.80,1159.85,1162.960207612456747404,31212,1172,36298314.00,5399,17.30,23.20,-3.95
25-April-2018,1160.05,1172.55,1156.80,1165.25,1163.216276065694777634,16257,599,18910407.00,2465,15.16,15.75,5.20
24-April-2018,1176.00,1181.95,1163.50,1173.10,1173.689720353588702952,17987,720,21111157.00,4201,23.36,18.45,-2.90
23-April-2018,1150.05,1180.90,1150.00,1178.60,1165.501790923525719138,27081,1065,31562954.00,8791,32.46,30.90,28.55
20-April-2018,1167.00,1167.00,1144.25,1159.10,1153.401866109878637609,30652,1086,35354074.00,5426,17.70,22.75,-7.90
19-April-2018,1180.00,1185.75,1164.75,1166.80,1172.626076480299852750,22411,855,26279723.00,5340,23.83,21.00,-13.20
18-April-2018,1176.00,1188.00,1167.05,1171.25,1172.532258788667893862,22273,1244,26115811.00,6977,31.32,20.95,-4.75
17-April-2018,1183.90,1186.65,1169.15,1175.15,1180.218350889377628583,25917,823,30587719.00,8565,33.05,17.50,-8.75
16-April-2018,1160.00,1186.95,1155.00,1177.90,1175.935751748251748251,36608,1397,43048656.00,10193,27.84,31.95,17.90
13-April-2018,1169.90,1175.00,1151.50,1162.80,1166.352293799887124082,24806,998,28932535.00,8391,33.83,23.50,-7.10
12-April-2018,1165.00,1167.65,1146.05,1164.15,1159.215722953689713888,41697,1013,48335818.00,25286,60.64,21.60,-0.85
11-April-2018,1156.00,1159.50,1142.00,1155.50,1151.739622641509433962,16960,679,19533504.00,2664,15.71,17.50,-0.50
10-April-2018,1158.50,1166.50,1152.00,1155.30,1158.226508964610907725,21306,903,24677174.00,4243,19.91,14.50,-3.20
9-April-2018,1150.00,1175.00,1140.85,1158.05,1163.165066144047035766,61230,1851,71220597.00,16131,26.34,34.15,8.05
6-April-2018,1145.20,1151.60,1135.30,1143.80,1142.837213865271419228,15290,639,17473981.00,2307,15.09,16.30,-1.40
5-April-2018,1153.05,1156.45,1136.25,1145.20,1145.914737171464330413,38352,1660,43948122.00,13009,33.92,20.20,-7.85
