Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,488.50,504.50,487.50,499.90,495.518977611223215143,10407,393,5156866.00,5273,50.67,17.00,11.40
27-April-2018,480.00,485.90,479.05,481.20,480.919516640788496590,74065,292,35619304.00,71836,96.99,6.85,1.20
26-April-2018,483.00,484.25,480.00,482.05,481.848788638262322472,2394,112,1153546.00,1587,66.29,4.25,-0.95
25-April-2018,486.00,488.95,482.10,482.85,484.900928792569659442,1938,111,939738.00,1235,63.73,6.85,-3.15
24-April-2018,489.95,492.20,485.00,486.95,489.145332050048123195,3117,117,1524666.00,1796,57.62,7.20,-3.00
23-April-2018,489.00,490.50,483.00,483.80,486.289722729536775693,6023,261,2928923.00,3596,59.70,7.50,-5.20
20-April-2018,492.05,494.25,485.00,488.85,489.657313587944920758,3849,211,1884691.00,2328,60.48,9.25,-3.20
19-April-2018,493.30,496.35,491.50,493.45,492.867698658410732714,4845,281,2387944.00,2651,54.72,4.85,0.15
18-April-2018,500.10,508.95,488.85,493.85,502.487685378860685548,53067,1024,26665514.00,43553,82.07,20.10,-6.25
17-April-2018,487.10,508.95,487.10,498.85,494.357096021592278015,65579,578,32419444.00,57804,88.14,21.85,11.75
16-April-2018,492.00,492.00,482.00,487.35,487.437076923076923076,6500,165,3168341.00,3801,58.48,10.00,-4.65
13-April-2018,495.95,496.55,487.00,490.30,491.488321167883211678,2740,205,1346678.00,1716,62.63,9.55,-5.65
12-April-2018,497.00,498.00,488.00,490.75,490.931709188567043928,5213,295,2559227.00,2908,55.78,10.00,-6.25
11-April-2018,498.90,498.90,489.05,491.50,492.974911799294394355,5102,362,2515158.00,2899,56.82,9.85,-7.40
10-April-2018,506.10,510.00,489.00,490.60,497.596107460700324378,12023,713,5982598.00,6779,56.38,21.00,-15.50
9-April-2018,501.25,509.30,497.80,500.40,502.995744680851063829,5875,332,2955100.00,2665,45.36,11.50,-0.85
6-April-2018,501.95,505.40,500.10,500.85,501.566230812961910176,3518,156,1764510.00,1984,56.40,5.30,-1.10
5-April-2018,507.75,507.75,498.10,502.45,501.922636103151862464,2792,294,1401368.00,764,27.36,9.65,-5.30
4-April-2018,500.90,507.40,496.65,499.20,501.964122321213580544,4153,244,2084657.00,2056,49.51,10.75,-1.70
3-April-2018,505.15,506.50,501.35,502.85,503.970714050674564001,3039,245,1531567.00,1439,47.35,5.15,-2.30
2-April-2018,504.20,511.95,499.00,505.80,506.630779269202087994,10728,589,5435135.00,2352,21.92,12.95,1.60
28-March-2018,490.00,508.00,475.00,504.20,495.737650173080838933,24555,823,12172838.00,13634,55.52,33.00,14.20
27-March-2018,475.00,498.90,465.25,490.40,479.922715251248898031,6806,425,3266354.00,2727,40.07,33.65,15.40
26-March-2018,460.00,478.85,453.20,470.90,460.535963114754098360,19520,1032,8989662.00,8276,42.40,25.65,10.90
23-March-2018,475.30,475.30,457.25,461.85,467.172375279225614296,10744,768,5019300.00,5205,48.45,18.05,-13.45
22-March-2018,480.00,494.00,475.00,476.15,479.096032691980248595,5873,271,2813731.00,3255,55.42,19.00,-3.85
21-March-2018,484.20,487.80,478.00,481.25,483.120478496154941612,7022,289,3392472.00,5476,77.98,9.80,-2.95
20-March-2018,486.00,490.55,482.25,484.10,486.216019417475728155,2884,155,1402247.00,1503,52.12,8.30,-1.90
19-March-2018,497.00,497.00,488.00,489.45,493.032329635499207606,3155,185,1555517.00,1796,56.93,9.00,-7.55
16-March-2018,502.80,510.00,493.50,502.05,503.583253619029398635,15681,671,7896689.00,11164,71.19,16.50,-0.75
15-March-2018,500.00,514.00,490.00,505.15,500.408258485944243555,8573,432,4290000.00,5437,63.42,24.00,5.15
14-March-2018,504.00,507.55,499.00,499.50,502.591529674003900808,3589,227,1803801.00,1873,52.19,8.55,-4.50
13-March-2018,499.95,505.95,487.00,495.30,497.234776379080953843,29313,924,14575443.00,14934,50.95,18.95,-4.65
12-March-2018,489.05,497.90,486.20,494.80,489.713193348707367398,8239,281,4034747.00,5773,70.07,11.70,5.75
9-March-2018,500.00,500.00,482.00,484.00,486.722201630837657524,5396,462,2626353.00,2983,55.28,18.00,-16.00
8-March-2018,489.20,492.50,472.60,489.30,485.960804717308359347,8649,539,4203075.00,3184,36.81,19.90,0.10
7-March-2018,491.65,495.00,481.00,486.50,486.339180354010524637,6271,326,3049833.00,2740,43.69,14.00,-5.15
6-March-2018,499.95,499.95,483.60,486.65,487.659440890784174366,8442,421,4116821.00,3678,43.57,16.35,-13.30
5-March-2018,495.00,495.00,473.50,490.85,487.198093725178713264,6295,634,3066912.00,2878,45.72,21.50,-4.15
1-March-2018,503.00,503.00,485.25,489.85,492.397394136807817589,2149,165,1058162.00,1086,50.54,17.75,-13.15
28-February-2018,480.00,494.00,480.00,490.70,487.370974401321222130,4844,233,2360825.00,2726,56.28,14.00,10.70
27-February-2018,490.00,491.50,472.85,484.35,483.595470869912210694,10024,372,4847561.00,4526,45.15,18.65,-5.65
26-February-2018,490.85,497.00,482.35,486.10,485.484484484484484484,14985,518,7274985.00,8057,53.77,14.65,-4.75
23-February-2018,488.00,490.50,484.00,488.55,487.620776347546259050,9944,258,4848901.00,7957,80.02,6.50,0.55
22-February-2018,490.05,503.05,485.25,488.45,493.539902280130293159,3684,303,1818201.00,1150,31.22,17.80,-1.60
21-February-2018,491.05,498.00,490.60,494.50,494.308224163027656477,5496,243,2716718.00,2376,43.23,7.40,3.45
20-February-2018,493.45,493.45,483.60,490.35,487.721837807915859396,3613,216,1762139.00,1216,33.66,9.85,-3.10
19-February-2018,499.95,499.95,486.00,490.70,488.397975077881619937,2568,131,1254206.00,854,33.26,13.95,-9.25
16-February-2018,502.05,502.05,484.00,487.30,491.492690547929918535,8961,600,4404266.00,4722,52.70,18.05,-14.75
15-February-2018,509.00,512.80,501.00,502.45,505.129611650485436893,4120,245,2081134.00,1789,43.42,11.80,-6.55
14-February-2018,504.75,512.00,502.35,508.75,506.438173422267829656,15592,485,7896384.00,5063,32.47,9.65,4.00
12-February-2018,506.00,509.20,492.25,502.25,502.058031855784664773,8099,334,4066168.00,3813,47.08,16.95,-3.75
9-February-2018,497.15,506.45,495.05,503.85,498.895953757225433526,3114,182,1553562.00,1327,42.61,11.40,6.70
8-February-2018,500.00,507.00,496.75,502.25,501.790263421140380126,2999,254,1504869.00,1563,52.12,10.25,2.25
7-February-2018,499.00,507.00,490.60,499.60,500.423308014964289763,8821,512,4414234.00,3889,44.09,16.40,0.60
6-February-2018,484.50,500.00,475.00,487.45,484.477729885057471264,27840,971,13487860.00,13702,49.22,25.00,2.95
5-February-2018,498.20,498.95,478.75,493.15,487.063972336287011022,13881,669,6760935.00,5229,37.67,20.20,-5.05
2-February-2018,505.20,505.20,498.00,498.95,501.108479179239589619,6628,280,3321347.00,1760,26.55,7.20,-6.25
1-February-2018,501.60,525.70,501.60,509.55,509.820404948516981712,260280,896,132696055.00,7130,2.74,24.10,7.95
31-January-2018,482.00,517.00,481.90,509.20,500.906858286338002546,27485,959,13767425.00,9588,34.88,35.10,27.20
30-January-2018,479.45,488.95,465.75,482.65,478.334774303810194028,19894,727,9515992.00,8947,44.97,23.20,3.20
29-January-2018,490.00,492.95,466.70,479.80,478.208352173632194302,30962,1113,14806287.00,11977,38.68,26.25,-10.20
25-January-2018,500.00,500.00,483.35,487.70,490.882578022240822671,16726,881,8210502.00,4669,27.91,16.65,-12.30
24-January-2018,495.70,500.25,476.00,496.30,494.477446704687547653,32789,937,16213421.00,13978,42.63,24.25,0.60
23-January-2018,509.00,509.00,491.20,493.25,497.698174799847502859,41968,1652,20887397.00,22524,53.67,17.80,-15.75
22-January-2018,527.60,527.60,505.30,508.85,512.111665437508134137,23051,1209,11804686.00,14129,61.29,22.30,-18.75
19-January-2018,544.00,548.85,523.05,527.60,531.009369094052836865,24869,1073,13205672.00,11382,45.77,25.80,-16.40
18-January-2018,549.40,549.65,540.00,542.95,545.551198257080610021,5049,204,2754488.00,2798,55.42,9.65,-6.45
17-January-2018,549.50,552.45,536.55,543.80,543.609960437514545031,4297,273,2335892.00,1602,37.28,15.90,-5.70
16-January-2018,553.00,556.75,550.00,551.30,553.430639887902849135,6423,294,3554685.00,3045,47.41,6.75,-1.70
15-January-2018,555.50,558.70,547.25,550.70,552.337460905087125805,15667,541,8653471.00,8038,51.31,11.45,-4.80
