Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,4625.05,4689.00,4615.00,4680.75,4649.904290429042904290,303,96,1408921.00,210,69.31,74.00,55.70
27-April-2018,4625.05,4690.00,4611.05,4635.70,4648.960114542851298834,4889,82,22728766.00,4718,96.50,78.95,10.65
26-April-2018,4623.90,4679.00,4595.25,4637.40,4635.962264150943396226,106,40,491412.00,79,74.53,83.75,13.50
25-April-2018,4665.80,4665.80,4612.40,4636.05,4640.228915662650602409,83,36,385139.00,34,40.96,53.40,-29.75
24-April-2018,4683.10,4698.50,4620.70,4691.80,4673.024390243902439024,328,168,1532752.00,238,72.56,77.80,8.70
23-April-2018,4499.85,4646.00,4499.80,4634.40,4612.204737732656514382,591,154,2725813.00,402,68.02,146.20,134.55
20-April-2018,4563.00,4596.00,4543.65,4588.55,4575.201086956521739130,184,61,841837.00,96,52.17,52.35,25.55
19-April-2018,4430.00,4591.00,4405.00,4564.80,4514.450762829403606102,721,244,3254919.00,314,43.55,186.00,134.80
18-April-2018,4439.80,4498.00,4431.80,4474.95,4457.050228310502283105,219,106,976094.00,144,65.75,66.20,35.15
17-April-2018,4417.65,4488.95,4415.00,4474.30,4439.979434447300771208,389,113,1727152.00,208,53.47,73.95,56.65
16-April-2018,4355.00,4494.00,4336.50,4457.70,4391.955056179775280898,178,69,781768.00,99,55.62,157.50,102.70
13-April-2018,4377.65,4430.00,4326.75,4351.45,4373.828125000000000000,128,46,559850.00,65,50.78,103.25,-26.20
12-April-2018,4377.10,4405.00,4255.00,4321.85,4390.279096045197740112,885,72,3885397.00,780,88.14,150.00,-55.25
11-April-2018,4434.70,4452.85,4354.00,4360.00,4379.713754646840148698,269,91,1178143.00,104,38.66,98.85,-74.70
10-April-2018,4465.05,4490.00,4370.00,4388.55,4406.412500000000000000,400,155,1762565.00,179,44.75,120.00,-76.50
