Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,3520.00,3557.45,3500.00,3510.55,3516.554687500000000000,128,40,450119.00,79,61.72,57.45,-9.45
27-April-2018,3522.80,3551.00,3520.00,3545.90,3530.626459143968871595,257,72,907371.00,111,43.19,31.00,23.10
26-April-2018,3517.00,3554.25,3489.00,3533.00,3508.410958904109589041,146,37,512228.00,91,62.33,65.25,16.00
25-April-2018,3514.05,3556.00,3433.20,3466.70,3496.234042553191489361,188,77,657292.00,109,57.98,122.80,-47.35
24-April-2018,3569.95,3588.70,3471.25,3543.50,3552.052401746724890829,458,83,1626840.00,275,60.04,117.45,-26.45
23-April-2018,3504.05,3600.65,3504.05,3558.40,3579.312727272727272727,275,103,984311.00,147,53.45,96.60,54.35
20-April-2018,3597.00,3605.00,3539.00,3571.50,3576.815856777493606138,391,126,1398535.00,125,31.97,66.00,-25.50
19-April-2018,3580.45,3640.00,3564.70,3594.60,3603.168719211822660098,812,205,2925773.00,429,52.83,75.30,14.15
18-April-2018,3440.00,3620.00,3333.00,3493.65,3510.421768707482993197,2352,733,8256512.00,861,36.61,287.00,53.65
17-April-2018,3325.00,3349.90,3316.10,3330.35,3325.562500000000000000,48,34,159627.00,32,66.67,33.80,5.35
16-April-2018,3301.50,3340.00,3277.00,3298.50,3303.966480446927374301,358,112,1182820.00,210,58.66,63.00,-3.00
13-April-2018,3345.00,3345.00,3318.00,3324.50,3329.041666666666666666,48,22,159794.00,34,70.83,27.00,-20.50
12-April-2018,3320.25,3380.00,3295.05,3354.90,3337.687671232876712328,365,78,1218256.00,306,83.84,84.95,34.65
11-April-2018,3322.45,3342.10,3270.00,3286.45,3293.115649380449747590,2179,195,7175699.00,1113,51.08,72.10,-36.00
10-April-2018,3350.05,3350.05,3327.00,3337.80,3346.678571428571428571,196,33,655949.00,143,72.96,23.05,-12.25
9-April-2018,3392.00,3400.00,3315.00,3343.40,3350.459807073954983922,311,56,1041993.00,226,72.67,85.00,-48.60
6-April-2018,3302.10,3350.00,3298.05,3337.10,3321.350000000000000000,480,88,1594248.00,233,48.54,51.95,35.00
5-April-2018,3358.30,3380.00,3301.90,3345.00,3334.309859154929577464,710,102,2367360.00,324,45.63,78.10,-13.30
4-April-2018,3266.00,3344.25,3266.00,3277.30,3295.011804384485666104,1186,186,3907884.00,456,38.45,78.25,11.30
