Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,2687.35,2723.65,2676.00,2691.15,2684.444711538461538461,416,41,1116729.00,307,73.80,47.65,3.80
27-April-2018,2673.95,2732.70,2673.95,2681.75,2698.384615384615384615,117,32,315711.00,60,51.28,58.75,7.80
26-April-2018,2707.45,2740.00,2705.00,2715.55,2727.453038674033149171,724,90,1974676.00,287,39.64,35.00,8.10
25-April-2018,2671.90,2725.05,2671.90,2707.45,2709.805460750853242320,586,74,1587946.00,157,26.79,53.15,35.55
24-April-2018,2699.05,2736.50,2670.00,2724.95,2716.966646813579511614,1679,122,4561787.00,791,47.11,66.50,25.90
23-April-2018,2643.00,2725.00,2643.00,2700.55,2697.613053613053613053,858,95,2314552.00,378,44.06,82.00,57.55
20-April-2018,2668.05,2673.05,2649.45,2656.50,2654.813299232736572890,391,39,1038032.00,323,82.61,23.60,-11.55
19-April-2018,2671.05,2690.25,2660.00,2679.70,2677.786476868327402135,281,43,752458.00,144,51.25,30.25,8.65
18-April-2018,2690.10,2700.00,2690.00,2696.55,2695.745901639344262295,122,13,328881.00,60,49.18,10.00,6.45
17-April-2018,2668.00,2823.65,2668.00,2688.65,2727.433566433566433566,2145,250,5850345.00,501,23.36,155.65,20.65
16-April-2018,2665.95,2688.00,2660.00,2674.70,2672.879365079365079365,315,37,841957.00,143,45.40,28.00,8.75
13-April-2018,2670.50,2687.95,2655.00,2668.35,2663.661943319838056680,494,52,1315849.00,379,76.72,32.95,-2.15
12-April-2018,2700.00,2719.80,2659.95,2666.10,2683.973333333333333333,375,106,1006490.00,238,63.47,59.85,-33.90
11-April-2018,2680.55,2750.00,2655.10,2711.10,2706.359264497878359264,2121,285,5740188.00,782,36.87,94.90,30.55
10-April-2018,2669.75,2694.15,2653.00,2684.75,2684.836235554851986702,25268,38,67840442.00,25167,99.60,41.15,15.00
9-April-2018,2694.90,2700.00,2654.00,2664.75,2674.444444444444444444,243,41,649890.00,133,54.73,46.00,-30.15
6-April-2018,2681.65,2721.30,2665.00,2694.95,2698.807228915662650602,498,88,1344006.00,224,44.98,56.30,13.30
5-April-2018,2678.25,2750.00,2678.00,2715.05,2699.008298755186721991,482,82,1300922.00,312,64.73,72.00,36.80
4-April-2018,2716.40,2733.95,2661.50,2677.65,2694.438127090301003344,598,134,1611274.00,249,41.64,72.45,-38.75
3-April-2018,2715.05,2738.45,2697.80,2712.15,2717.468879668049792531,482,99,1309820.00,273,56.64,40.65,-2.90
2-April-2018,2761.60,2768.65,2732.05,2745.10,2748.390625000000000000,1216,124,3342043.00,877,72.12,36.60,-16.50
