Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,1380.20,1405.00,1380.00,1400.60,1393.237116210499326966,124808,4996,173887138.00,48315,38.71,25.00,20.40
27-April-2018,1348.20,1382.30,1348.20,1376.80,1369.995062142329175271,131231,5753,179785822.00,53211,40.55,34.10,28.60
26-April-2018,1361.00,1364.80,1330.20,1347.00,1344.779378010234798314,106304,9329,142955427.00,51462,48.41,34.60,-14.00
25-April-2018,1375.00,1376.05,1356.25,1359.75,1362.405309338569759638,80462,4565,109621856.00,35931,44.66,19.80,-15.25
24-April-2018,1359.90,1383.40,1351.85,1377.45,1367.876724294400580814,88152,2947,120581069.00,27004,30.63,31.55,17.55
23-April-2018,1370.00,1378.00,1355.15,1360.45,1365.732785714285714285,98000,2662,133841813.00,30889,31.52,22.85,-9.55
20-April-2018,1384.30,1384.30,1359.10,1363.70,1371.897900309900068941,298806,2426,409931324.00,224538,75.15,25.20,-20.60
19-April-2018,1360.00,1387.90,1360.00,1384.30,1374.347626310496966431,207841,4574,285645785.00,107520,51.73,27.90,24.30
18-April-2018,1355.10,1371.00,1353.30,1360.65,1362.739563543435498243,118958,3548,162108773.00,28049,23.58,17.70,5.55
17-April-2018,1369.00,1377.00,1356.40,1360.25,1365.430903978495362890,145457,3384,198611483.00,23308,16.02,20.60,-8.75
16-April-2018,1343.30,1371.90,1343.30,1367.35,1364.551409049975627690,121039,4808,165163938.00,32653,26.98,28.60,24.05
13-April-2018,1357.45,1364.05,1341.00,1355.30,1350.665049693715239782,88643,3124,119727002.00,32149,36.27,23.05,-2.15
12-April-2018,1352.20,1359.90,1347.10,1357.55,1354.102866852561868246,68856,2450,93238107.00,25343,36.81,12.80,5.35
11-April-2018,1359.00,1359.00,1340.00,1351.40,1349.536182952402305369,75823,3654,102325882.00,21805,28.76,19.00,-7.60
10-April-2018,1330.00,1355.25,1330.00,1348.55,1344.568667786873584521,260071,5232,349683318.00,173050,66.54,25.25,18.55
9-April-2018,1316.00,1331.30,1315.30,1326.25,1326.572899085449621226,101908,2643,135188391.00,20523,20.14,16.00,10.25
6-April-2018,1311.00,1323.75,1304.30,1311.10,1312.272767495904302176,250873,3848,329213806.00,161547,64.39,19.45,0.10
5-April-2018,1310.35,1335.20,1310.35,1328.55,1325.619758420287393697,482822,4462,640038383.00,387622,80.28,24.85,18.20
4-April-2018,1333.00,1333.40,1291.80,1296.35,1308.348646210322192610,96433,3469,126167985.00,41071,42.59,41.60,-36.65
3-April-2018,1335.00,1338.00,1317.40,1329.90,1326.211774138128507616,96041,3385,127370705.00,49715,51.76,20.60,-5.10
2-April-2018,1311.20,1339.00,1311.20,1336.00,1332.596248920976222239,89201,3685,118868918.00,34823,39.04,27.80,24.80
28-March-2018,1303.90,1322.50,1293.20,1311.90,1304.974036836910517423,119554,3570,156014866.00,38869,32.51,29.30,8.00
27-March-2018,1303.55,1314.55,1301.00,1306.85,1307.131880802337832733,100606,2901,131505310.00,43250,42.99,13.55,3.30
26-March-2018,1267.00,1302.40,1266.95,1295.15,1287.584504401649849174,178683,5676,230069462.00,75031,41.99,35.45,28.15
23-March-2018,1284.95,1284.95,1262.60,1267.75,1269.497814266551691098,166992,9034,211995979.00,78210,46.83,22.35,-17.20
22-March-2018,1312.40,1320.00,1289.20,1294.50,1305.355889765325827251,122212,3077,159530154.00,49997,40.91,30.80,-17.90
21-March-2018,1296.30,1312.55,1296.30,1308.40,1307.642766930638995084,117184,3484,153234810.00,36684,31.30,16.25,12.10
20-March-2018,1285.00,1300.00,1272.10,1293.70,1290.930796553157123030,127537,3849,164641441.00,55391,43.43,27.90,8.70
19-March-2018,1284.00,1292.30,1266.85,1279.70,1280.207464159755407633,166154,5117,212711591.00,52205,31.42,25.45,-4.30
16-March-2018,1299.75,1303.10,1260.35,1267.60,1275.408152820584023390,619393,6541,789978882.00,466944,75.39,42.75,-32.15
15-March-2018,1305.00,1309.40,1292.00,1295.05,1302.939469805096048105,213695,3135,278431650.00,161171,75.42,17.40,-9.95
14-March-2018,1305.00,1312.05,1293.10,1302.45,1302.132921387833355171,145003,3713,188813180.00,63831,44.02,18.95,-2.55
13-March-2018,1310.00,1322.65,1294.40,1302.15,1308.024678841231963797,161758,7461,211583456.00,75946,46.95,28.25,-7.85
12-March-2018,1300.30,1312.00,1296.80,1309.85,1304.149438557129943256,183634,7013,239486178.00,91725,49.95,15.20,9.55
9-March-2018,1288.00,1295.60,1280.00,1290.15,1290.497410875518721821,83619,6139,107910103.00,35976,43.02,15.60,2.15
8-March-2018,1263.25,1289.60,1259.70,1283.25,1272.119413763806287170,117700,5166,149728455.00,51333,43.61,29.90,20.00
7-March-2018,1280.00,1292.90,1260.00,1263.10,1270.038519045120375542,177237,5791,225097817.00,98611,55.64,32.90,-16.90
6-March-2018,1309.00,1319.00,1279.00,1284.20,1301.525579672568338395,134990,6729,175692938.00,60926,45.13,40.00,-24.80
5-March-2018,1314.00,1314.00,1298.50,1301.75,1303.074998681921231612,75868,4972,98861694.00,29445,38.81,15.50,-12.25
1-March-2018,1323.00,1332.30,1300.00,1313.20,1319.778475951102479150,113789,4567,150176273.00,37827,33.24,32.30,-9.80
28-February-2018,1330.00,1332.00,1313.50,1319.10,1321.454913424780751068,106728,3714,141036240.00,39388,36.91,18.50,-10.90
27-February-2018,1347.80,1355.50,1332.05,1337.80,1337.924921750815266374,244092,4405,326576770.00,61122,25.04,23.45,-10.00
26-February-2018,1303.50,1347.50,1303.50,1339.20,1333.799944989863051376,225413,8123,300655847.00,66006,29.28,44.00,35.70
