Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-Apr-18,6200,6225.25,6115.75,6142,6163.838323,334,105,2058722,159,47.6,109.5,-58
27-Apr-18,6026.6,6200,6026.6,6168.95,6148.685315,143,50,879262,68,47.55,173.4,142.35
26-Apr-18,6146.45,6189.35,6070,6086.95,6133.954704,287,70,1760445,160,55.75,119.35,-59.5
25-Apr-18,6252,6252,6136.6,6192.2,6205,173,65,1073465,55,31.79,115.4,-59.8
24-Apr-18,6154.75,6263.75,6154.75,6212.45,6220.124369,1584,285,9852677,826,52.15,109,57.7
23-Apr-18,6184.95,6201.65,6097.5,6144.3,6171.616667,360,86,2221782,203,56.39,104.15,-40.65
20-Apr-18,6165.05,6185,6115.2,6137.75,6151.92053,151,57,928940,87,57.62,69.8,-27.3
19-Apr-18,6187.1,6312.45,6144,6162.7,6219.905028,358,96,2226726,138,38.55,168.45,-24.4
18-Apr-18,6300,6310,6150,6182.15,6242.082117,548,108,3420661,295,53.83,160,-117.85
17-Apr-18,6401,6508.1,6260,6296.3,6331.629779,497,172,3146820,115,23.14,248.1,-104.7
16-Apr-18,6400,6659,6356.2,6447.45,6519.676271,1180,319,7693218,655,55.51,302.8,47.45
13-Apr-18,6075,6602,6060,6497.45,6382.511782,2419,665,15439296,818,33.82,542,422.45
12-Apr-18,5800.05,6176.7,5800,6075.75,6025.418367,1372,397,8266874,816,59.48,376.7,275.7
11-Apr-18,5785,5810,5730,5780.8,5782.22973,296,74,1711540,139,46.96,80,-4.2
10-Apr-18,5765,5776.5,5670,5752.95,5753.981455,2103,230,12100623,55,2.62,106.5,-12.05
09-Apr-18,5724.95,5781.95,5688.35,5765.7,5756.669725,218,61,1254954,128,58.72,93.6,40.75
06-Apr-18,5709,5749.95,5668.4,5698.6,5712.905405,148,65,845510,58,39.19,81.55,-10.4
05-Apr-18,5743.55,5750,5588,5683.45,5695.473684,152,58,865712,77,50.66,162,-60.1
04-Apr-18,5610,5871.85,5601,5616.45,5701.809619,499,182,2845203,155,31.06,270.85,6.45
03-Apr-18,5545,5625,5520,5617.55,5581.191781,73,43,407427,36,49.32,105,72.55
02-Apr-18,5475,5530,5457.5,5509.6,5505.559783,184,71,1013023,85,46.2,72.5,34.6
28-Mar-18,5305.75,5469.5,5302.1,5449.1,5394.79085,306,84,1650806,159,51.96,167.4,143.35
27-Mar-18,5313.9,5396.55,5308.2,5362.75,5352.774538,1406,147,7526001,124,8.82,88.35,48.85
26-Mar-18,5399.95,5400,5306.15,5356.3,5360.544898,490,121,2626667,347,70.82,93.85,-43.65
23-Mar-18,5326.8,5394,5300,5385.2,5362.875458,273,68,1464065,162,59.34,94,58.4
22-Mar-18,5455,5455,5400,5437.65,5422.32,100,37,542232,51,51,55,-17.35
21-Mar-18,5441,5447,5405,5443.3,5427.450965,1244,66,6751749,257,20.66,42,2.3
20-Mar-18,5469,5473,5410,5449.85,5451.72,525,66,2862153,411,78.29,63,-19.15
19-Mar-18,5550,5550,5405,5447.2,5483.402067,1838,180,10078493,186,10.12,145,-102.8
16-Mar-18,5585,5659.85,5500,5515.25,5567.777966,590,177,3284989,306,51.86,159.85,-69.75
15-Mar-18,5548,5641.8,5502,5578.75,5611.169972,353,113,1980743,164,46.46,139.8,30.75
14-Mar-18,5663.95,5674.7,5571.2,5593.85,5605.351039,433,123,2427117,213,49.19,103.5,-70.1
13-Mar-18,5636.05,5664.95,5578.25,5608.25,5622.831461,89,57,500432,42,47.19,86.7,-27.8
12-Mar-18,5690.4,5695.75,5601.2,5626.7,5666.509804,204,98,1155968,116,56.86,94.55,-63.7
09-Mar-18,5648.95,5690.05,5625,5635.75,5653.91,100,44,565391,57,57,65.05,-13.2
08-Mar-18,5726,5726,5550,5607.7,5642.561181,474,158,2674574,198,41.77,176,-118.3
07-Mar-18,5700.35,5895,5690.15,5734.05,5764.639125,823,243,4744298,343,41.68,204.85,33.7
06-Mar-18,5747.5,5752.9,5645,5661.9,5692.296296,108,53,614768,70,64.81,107.9,-85.6
