Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,2332.30,2345.00,2325.00,2331.30,2331.073593073593073593,462,62,1076956.00,282,61.04,20.00,-1.00
27-April-2018,2340.00,2346.00,2312.05,2327.75,2321.286057692307692307,416,109,965655.00,271,65.14,33.95,-12.25
26-April-2018,2340.20,2340.20,2303.00,2324.10,2314.984544049459041731,1294,229,2995590.00,864,66.77,37.20,-16.10
25-April-2018,2372.00,2375.05,2340.00,2343.10,2356.995488721804511278,665,102,1567402.00,484,72.78,35.05,-28.90
24-April-2018,2404.05,2412.00,2370.00,2381.00,2387.296957671957671957,1512,204,3609593.00,881,58.27,42.00,-23.05
23-April-2018,2432.00,2441.90,2409.00,2420.15,2425.325552825552825552,814,124,1974215.00,563,69.16,32.90,-11.85
20-April-2018,2369.05,2449.25,2367.05,2432.90,2425.579746835443037974,1580,301,3832416.00,613,38.80,82.20,63.85
19-April-2018,2359.55,2394.00,2355.00,2378.25,2373.303278688524590163,732,109,1737258.00,312,42.62,39.00,18.70
18-April-2018,2360.00,2401.05,2350.00,2359.55,2373.311827956989247311,372,114,882872.00,178,47.85,51.05,-0.45
17-April-2018,2360.00,2391.00,2340.00,2380.15,2358.239485981308411214,856,199,2018653.00,432,50.47,51.00,20.15
16-April-2018,2328.00,2391.00,2318.00,2359.50,2340.762513312034078807,939,190,2197976.00,372,39.62,73.00,31.50
13-April-2018,2309.05,2345.00,2305.65,2340.05,2327.566893424036281179,441,100,1026457.00,255,57.82,39.35,31.00
12-April-2018,2290.00,2330.00,2280.85,2317.50,2308.966931216931216931,756,153,1745579.00,593,78.44,49.15,27.50
11-April-2018,2300.00,2315.00,2258.60,2299.10,2291.410941475826972010,786,132,1801049.00,534,67.94,56.40,-0.90
10-April-2018,2285.00,2300.00,2251.05,2290.80,2272.752714113389626055,829,174,1884112.00,437,52.71,48.95,5.80
9-April-2018,2299.00,2304.00,2263.50,2290.10,2278.654060066740823136,899,211,2048510.00,520,57.84,40.50,-8.90
6-April-2018,2257.00,2285.00,2220.00,2264.50,2253.017467248908296943,916,189,2063764.00,590,64.41,65.00,7.50
5-April-2018,2199.00,2274.80,2184.65,2225.05,2203.460650577124868835,953,186,2099898.00,366,38.41,90.15,26.05
4-April-2018,2168.10,2200.00,2160.00,2182.90,2181.609653725078698845,953,177,2079074.00,572,60.02,40.00,14.80
3-April-2018,2102.00,2174.00,2090.00,2152.40,2130.716397849462365591,744,185,1585253.00,370,49.73,84.00,50.40
2-April-2018,2085.40,2128.00,2085.00,2094.45,2104.920965058236272878,1202,256,2530115.00,637,53.00,43.00,9.05
28-March-2018,2137.80,2150.00,2040.00,2085.40,2104.884087442806304016,1967,380,4140307.00,1074,54.60,110.00,-52.40
27-March-2018,2159.75,2161.00,2130.00,2132.30,2145.914838229825213834,2689,426,5770365.00,1525,56.71,31.00,-27.45
26-March-2018,2190.05,2190.05,2133.00,2142.25,2145.153901216893342877,2794,326,5993560.00,2025,72.48,57.05,-47.80
23-March-2018,2205.00,2208.35,2171.60,2174.15,2186.711142993782879005,2091,296,4572413.00,1408,67.34,36.75,-30.85
22-March-2018,2224.90,2224.95,2200.00,2204.05,2206.170520231213872832,692,144,1526670.00,471,68.06,24.95,-20.85
21-March-2018,2234.00,2234.00,2200.05,2214.70,2213.700501253132832080,1596,289,3533066.00,1148,71.93,33.95,-19.30
20-March-2018,2204.05,2227.90,2200.00,2220.60,2209.250110277900308778,2267,417,5008370.00,1448,63.87,27.90,16.55
19-March-2018,2222.65,2245.00,2205.00,2215.20,2216.690536013400335008,2388,436,5293457.00,1454,60.89,40.00,-7.45
16-March-2018,2290.00,2294.10,2211.20,2239.10,2251.610619469026548672,1243,282,2798752.00,842,67.74,82.90,-50.90
15-March-2018,2285.00,2314.00,2264.65,2289.60,2290.548626577579806978,1347,262,3085369.00,800,59.39,49.35,4.60
14-March-2018,2276.10,2290.00,2260.55,2273.40,2272.781147540983606557,1220,238,2772793.00,742,60.82,29.45,-2.70
13-March-2018,2255.00,2280.00,2248.70,2264.80,2259.262992125984251968,1270,295,2869264.00,842,66.30,31.30,9.80
12-March-2018,2279.00,2279.00,2241.55,2250.15,2253.616271620755925688,1561,350,3517895.00,1090,69.83,37.45,-28.85
9-March-2018,2280.00,2289.25,2250.05,2267.40,2265.456521739130434782,1012,227,2292642.00,686,67.79,39.20,-12.60
8-March-2018,2280.05,2291.00,2260.00,2279.15,2271.953173136167590881,1623,445,3687380.00,865,53.30,31.00,-0.90
7-March-2018,2325.00,2337.55,2276.20,2286.00,2298.914674167838724800,2133,461,4903585.00,1021,47.87,61.35,-39.00
6-March-2018,2370.00,2377.25,2330.00,2340.05,2349.200000000000000000,940,267,2208248.00,604,64.26,47.25,-29.95
5-March-2018,2370.00,2407.60,2351.00,2374.30,2371.429482071713147410,1255,297,2976144.00,566,45.10,56.60,4.30
1-March-2018,2385.15,2419.70,2360.65,2379.35,2386.081069237510955302,2282,323,5445037.00,953,41.76,59.05,-5.80
28-February-2018,2397.00,2406.30,2351.55,2373.75,2371.668338799922824618,5183,647,12292357.00,2410,46.50,54.75,-23.25
27-February-2018,2408.00,2455.00,2385.10,2394.90,2414.071105365223012281,1547,342,3734568.00,767,49.58,69.90,-13.10
26-February-2018,2370.00,2425.80,2366.35,2397.60,2393.830623306233062330,2214,376,5299941.00,1192,53.84,59.45,27.60
23-February-2018,2400.75,2410.40,2346.45,2397.70,2383.072874493927125506,2470,346,5886190.00,1225,49.60,63.95,-3.05
22-February-2018,2385.00,2429.00,2325.60,2395.55,2366.183464932652113330,2153,345,5094393.00,971,45.10,103.40,10.55
21-February-2018,2407.20,2424.40,2329.00,2385.15,2380.752185089974293059,1945,325,4630563.00,971,49.92,95.40,-22.05
20-February-2018,2430.00,2432.00,2410.05,2417.80,2424.558139534883720930,301,59,729792.00,194,64.45,21.95,-12.20
19-February-2018,2425.00,2435.00,2405.35,2420.50,2416.329397874852420306,847,224,2046631.00,551,65.05,29.65,-4.50
16-February-2018,2430.05,2454.95,2401.00,2429.75,2424.311367380560131795,1214,327,2943114.00,703,57.91,53.95,-0.30
15-February-2018,2441.40,2455.10,2430.00,2441.60,2442.239608801955990220,409,102,998876.00,282,68.95,25.10,0.20
14-February-2018,2449.00,2470.00,2435.35,2450.10,2444.797590361445783132,415,120,1014591.00,274,66.02,34.65,1.10
