Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,4999.95,4999.95,4839.00,4897.40,4864.807228915662650602,83,30,403779.00,45,54.22,160.95,-102.55
27-April-2018,4848.00,4872.00,4817.00,4849.50,4844.115384615384615384,78,18,377841.00,69,88.46,55.00,1.50
26-April-2018,4898.00,4910.00,4849.00,4850.15,4871.798076923076923076,104,33,506667.00,97,93.27,61.00,-47.85
25-April-2018,4960.00,4965.00,4910.20,4960.90,4959.901299089144393011,6697,55,33216459.00,6658,99.42,54.80,0.90
24-April-2018,5024.95,5024.95,4929.95,4933.85,4945.900000000000000000,290,102,1434311.00,181,62.41,95.00,-91.10
23-April-2018,5040.50,5040.50,4907.00,4916.30,4946.081632653061224489,735,187,3635370.00,510,69.39,133.50,-124.20
20-April-2018,5026.00,5075.00,4995.00,4999.50,5026.888554216867469879,332,115,1668927.00,221,66.57,80.00,-26.50
19-April-2018,5031.00,5075.00,5030.05,5046.60,5052.216666666666666666,120,34,606266.00,109,90.83,44.95,15.60
18-April-2018,5069.80,5097.00,5037.00,5055.30,5061.935714285714285714,560,118,2834684.00,321,57.32,60.00,-14.50
17-April-2018,4970.20,5113.10,4970.20,5082.00,5089.924855491329479768,173,47,880557.00,142,82.08,142.90,111.80
16-April-2018,4932.00,5097.65,4932.00,5072.65,5064.685314685314685314,143,38,724250.00,97,67.83,165.65,140.65
13-April-2018,5200.00,5308.00,5073.00,5078.00,5105.113122171945701357,221,53,1128230.00,99,44.80,235.00,-122.00
12-April-2018,5055.05,5099.00,5040.00,5050.05,5058.407407407407407407,27,20,136577.00,19,70.37,59.00,-5.00
11-April-2018,5044.00,5140.00,5019.85,5094.05,5059.760273972602739726,146,67,738725.00,80,54.79,120.15,50.05
10-April-2018,5055.05,5113.00,5038.95,5055.00,5063.152542372881355932,59,30,298726.00,49,83.05,74.05,-0.05
9-April-2018,5115.45,5165.00,4989.00,5055.85,5126.394953565796390397,17121,158,87769008.00,16726,97.69,176.00,-59.60
6-April-2018,5105.00,5121.40,5101.00,5106.95,5108.840000000000000000,25,11,127721.00,20,80.00,20.40,1.95
5-April-2018,5125.00,5240.00,5031.50,5124.90,5114.804347826086956521,92,42,470562.00,60,65.22,208.50,-0.10
